date,symbol,close,change_percent,open,high,low,volume,source,timestamp
2025-11-26,CGH,887.0,0.77,890.0,880.0,890.0,9377.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CHCL,501.1,0.82,509.0,496.0,496.2,74744.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CHDC,2399.0,-0.25,2445.0,2361.0,2361.0,23945.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CHL,282.9,3.36,282.9,270.1,271.5,132344.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CIT,1865.0,-0.25,1875.0,1850.3,1860.0,5883.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CITY,533.6,-0.63,542.0,526.5,526.5,3099.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CKHL,627.9,-1.12,640.0,617.4,635.0,3666.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CLI,499.9,2.02,501.8,484.0,490.0,65992.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CORBL,1690.0,-0.18,1713.8,1663.0,1663.0,6031.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CREST,1282.0,-1.16,1300.0,1260.2,1280.0,10842.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CYCL,1519.9,0.26,1530.0,1502.0,1530.0,2136.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,CZBIL,194.9,1.78,194.9,188.2,193.0,35242.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,DDBL,880.0,0.0,881.1,870.0,880.0,22350.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,DHEL,591.0,6.87,591.0,548.1,550.0,62170.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,DHPL,298.9,-1.03,308.0,295.0,308.0,6121.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,DLBS,1399.8,-1.07,1400.0,1387.0,1387.5,378.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,DOLTI,545.0,1.15,550.7,528.1,528.1,8905.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,DORDI,276.9,-0.04,279.9,272.0,276.9,116811.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,EBL,657.0,0.89,659.7,646.0,651.2,21721.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,EDBL,598.0,-0.37,609.5,590.1,590.1,8495.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,EHPL,446.0,-1.96,456.5,440.0,445.9,53118.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,ENL,911.1,-1.72,920.0,910.1,911.0,508.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,FMDBL,849.0,-0.71,855.0,840.0,852.0,26756.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,FOWAD,1127.9,0.89,1128.8,1116.0,1118.0,5019.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GBBL,387.0,-0.41,390.0,384.1,388.0,16887.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GBIME,228.8,0.39,229.0,225.0,227.1,101726.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GCIL,453.0,1.82,453.0,440.1,445.0,34590.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GFCL,598.0,-0.17,612.0,588.0,600.0,8062.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GHL,217.9,-0.5,221.3,216.8,220.1,34037.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GILB,1324.9,3.11,1324.9,1270.0,1294.0,11865.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GLBSL,2037.0,-0.15,2038.9,2010.2,2020.0,3272.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GLH,259.0,-0.65,264.5,258.1,264.5,23263.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GMFBS,1539.1,-2.4,1576.9,1515.1,1546.0,1026.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GMFIL,453.9,-0.35,464.6,441.0,464.6,17897.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GMLI,1900.0,-0.84,1916.0,1881.0,1916.0,1510.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GRDBL,1119.0,0.27,1129.0,1103.0,1103.0,11862.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GSY,9.0,-0.66,9.05,8.82,8.88,13300.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GUFL,518.0,0.1,526.0,507.0,522.0,9928.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,GVL,534.0,-1.11,546.8,533.2,543.0,40733.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HATHY,927.1,-1.25,948.0,925.8,938.8,7621.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HBL,192.9,0.0,196.0,190.1,193.0,68073.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HDHPC,179.0,0.11,182.3,176.3,182.3,42962.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HDL,1192.0,2.94,1200.0,1135.0,1135.0,114895.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HEI,508.7,0.34,509.9,497.0,497.0,10858.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HEIP,319.0,-1.85,319.0,319.0,319.0,200.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HHL,340.0,0.59,344.0,336.0,344.0,20145.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HIDCL,282.0,1.44,283.2,276.5,279.0,324409.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HIDCLP,190.0,-0.31,192.6,187.7,191.9,202500.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HIMSTAR,931.0,5.32,952.0,821.0,866.4,44943.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HLBSL,949.0,1.28,951.0,925.1,937.0,3094.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HLI,392.0,-0.51,395.0,386.0,394.1,104989.0,merolagani_daily,2025-11-26 00:39:42
2025-11-26,HLICF,9.15,-1.61,9.31,9.13,9.13,1410.0,merolagani_daily,2025-11-26 00:39:42
